id,method,path,module,operation_id,summary
1,GET,/api/v1/admin/audit-logs,admin-audit,list_audit_logs_api_v1_admin_audit_logs_get,List Audit Logs
2,GET,/api/v1/admin/audit-logs/export,admin-audit,export_audit_logs_api_v1_admin_audit_logs_export_get,Export Audit Logs
3,POST,/api/v1/admin/audit-logs/export,admin-audit,export_audit_logs_api_v1_admin_audit_logs_export_post,Export Audit Logs
4,GET,/api/v1/admin/audit-logs/{entry_id},admin-audit,get_audit_log_api_v1_admin_audit_logs__entry_id__get,Get Audit Log
5,GET,/api/v1/admin/dashboard/adoption-stats,admin-dashboard,get_adoption_stats_api_v1_admin_dashboard_adoption_stats_get,Get Adoption Stats
6,GET,/api/v1/admin/dashboard/charts,admin-dashboard,get_charts_api_v1_admin_dashboard_charts_get,Get Charts
7,GET,/api/v1/admin/dashboard/donation-summary,admin-dashboard,get_donation_summary_api_v1_admin_dashboard_donation_summary_get,Get Donation Summary
8,GET,/api/v1/admin/dashboard/foster-stats,admin-dashboard,get_foster_stats_api_v1_admin_dashboard_foster_stats_get,Get Foster Stats
9,GET,/api/v1/admin/dashboard/grievance-stats,admin-dashboard,get_grievance_stats_api_v1_admin_dashboard_grievance_stats_get,Get Grievance Stats
10,GET,/api/v1/admin/dashboard/inventory-alerts,admin-dashboard,get_inventory_alerts_api_v1_admin_dashboard_inventory_alerts_get,Get Inventory Alerts
11,GET,/api/v1/admin/dashboard/kpis,admin-dashboard,get_kpis_api_v1_admin_dashboard_kpis_get,Get Kpis
12,GET,/api/v1/admin/dashboard/lost-found-stats,admin-dashboard,get_lost_found_stats_api_v1_admin_dashboard_lost_found_stats_get,Get Lost Found Stats
13,GET,/api/v1/admin/dashboard/medical-stats,admin-dashboard,get_medical_stats_api_v1_admin_dashboard_medical_stats_get,Get Medical Stats
14,GET,/api/v1/admin/dashboard/metrics,admin-dashboard,get_system_metrics_api_v1_admin_dashboard_metrics_get,Get System Metrics
15,GET,/api/v1/admin/dashboard/notification-summary,admin-dashboard,get_notification_summary_api_v1_admin_dashboard_notification_summary_get,Get Notification Summary
16,GET,/api/v1/admin/dashboard/recent-activity,admin-dashboard,get_recent_activity_api_v1_admin_dashboard_recent_activity_get,Get Recent Activity
17,GET,/api/v1/admin/dashboard/rescue-stats,admin-dashboard,get_rescue_stats_api_v1_admin_dashboard_rescue_stats_get,Get Rescue Stats
18,GET,/api/v1/admin/dashboard/shelter-stats,admin-dashboard,get_shelter_stats_api_v1_admin_dashboard_shelter_stats_get,Get Shelter Stats
19,GET,/api/v1/admin/dashboard/summary,admin-dashboard,get_summary_api_v1_admin_dashboard_summary_get,Get Summary
20,GET,/api/v1/admin/dashboard/volunteer-stats,admin-dashboard,get_volunteer_stats_api_v1_admin_dashboard_volunteer_stats_get,Get Volunteer Stats
21,GET,/api/v1/admin/permissions,admin,list_permissions_api_v1_admin_permissions_get,List Permissions
22,GET,/api/v1/admin/roles,admin,list_roles_api_v1_admin_roles_get,List Roles
23,POST,/api/v1/admin/roles,admin,create_role_api_v1_admin_roles_post,Create Role
24,GET,/api/v1/admin/roles/{role_id},admin,get_role_api_v1_admin_roles__role_id__get,Get Role
25,PUT,/api/v1/admin/roles/{role_id},admin,update_role_api_v1_admin_roles__role_id__put,Update Role
26,DELETE,/api/v1/admin/roles/{role_id},admin,delete_role_api_v1_admin_roles__role_id__delete,Delete Role
27,GET,/api/v1/admin/users,admin,list_users_api_v1_admin_users_get,List Users
28,POST,/api/v1/admin/users,admin,create_user_api_v1_admin_users_post,Create User
29,GET,/api/v1/admin/users/{user_id},admin,get_user_api_v1_admin_users__user_id__get,Get User
30,PUT,/api/v1/admin/users/{user_id},admin,update_user_api_v1_admin_users__user_id__put,Update User
31,DELETE,/api/v1/admin/users/{user_id},admin,delete_user_api_v1_admin_users__user_id__delete,Delete User
32,GET,/api/v1/adoptions,adoptions,list_applications_api_v1_adoptions_get,List Applications
33,POST,/api/v1/adoptions,adoptions,apply_for_adoption_api_v1_adoptions_post,Apply For Adoption
34,DELETE,/api/v1/adoptions/admin/adoptions/{app_id},adoptions,soft_delete_application_api_v1_adoptions_admin_adoptions__app_id__delete,Soft Delete Application
35,POST,/api/v1/adoptions/bulk/delete,adoptions,bulk_delete_applications_api_v1_adoptions_bulk_delete_post,Bulk Delete Applications
36,POST,/api/v1/adoptions/bulk/status-update,adoptions,bulk_update_application_status_api_v1_adoptions_bulk_status_update_post,Bulk Update Application Status
37,GET,/api/v1/adoptions/my,adoptions,list_my_applications_api_v1_adoptions_my_get,List My Applications
38,GET,/api/v1/adoptions/nearby-shelters,adoptions,find_nearby_shelters_api_v1_adoptions_nearby_shelters_get,Find Nearby Shelters
39,GET,/api/v1/adoptions/{app_id},adoptions,get_application_api_v1_adoptions__app_id__get,Get Application
40,PUT,/api/v1/adoptions/{app_id},adoptions,update_application_api_v1_adoptions__app_id__put,Update Application
41,DELETE,/api/v1/adoptions/{app_id},adoptions,soft_delete_application_api_v1_adoptions__app_id__delete,Soft Delete Application
42,GET,/api/v1/adoptions/{app_id}/agreement,adoptions,get_adoption_agreement_api_v1_adoptions__app_id__agreement_get,Get Adoption Agreement
43,PUT,/api/v1/adoptions/{app_id}/fee,adoptions,update_adoption_fee_api_v1_adoptions__app_id__fee_put,Update Adoption Fee
44,GET,/api/v1/adoptions/{app_id}/follow-ups,adoptions,get_follow_ups_api_v1_adoptions__app_id__follow_ups_get,Get Follow Ups
45,POST,/api/v1/adoptions/{app_id}/follow-ups,adoptions,create_follow_up_api_v1_adoptions__app_id__follow_ups_post,Create Follow Up
46,POST,/api/v1/adoptions/{app_id}/follow-ups/{follow_up_id}/proof,adoptions,submit_follow_up_proof_api_v1_adoptions__app_id__follow_ups__follow_up_id__proof_post,Submit Follow Up Proof
47,GET,/api/v1/adoptions/{app_id}/scores,adoptions,get_scores_api_v1_adoptions__app_id__scores_get,Get Scores
48,POST,/api/v1/adoptions/{app_id}/scores,adoptions,add_score_api_v1_adoptions__app_id__scores_post,Add Score
49,PATCH,/api/v1/adoptions/{app_id}/status,adoptions,update_application_status_api_v1_adoptions__app_id__status_patch,Update Application Status
50,POST,/api/v1/auth/email/verify/confirm,auth,confirm_email_verification_api_v1_auth_email_verify_confirm_post,Confirm Email Verification
51,POST,/api/v1/auth/email/verify/request,auth,request_email_verification_api_v1_auth_email_verify_request_post,Request Email Verification
52,POST,/api/v1/auth/login,auth,login_api_v1_auth_login_post,Login
53,POST,/api/v1/auth/logout,auth,logout_api_v1_auth_logout_post,Logout
54,POST,/api/v1/auth/logout-all,auth,logout_all_api_v1_auth_logout_all_post,Logout All
55,GET,/api/v1/auth/me,auth,get_me_api_v1_auth_me_get,Get Me
56,PUT,/api/v1/auth/me,auth,update_profile_api_v1_auth_me_put,Update Profile
57,POST,/api/v1/auth/mfa/disable,auth,disable_mfa_api_v1_auth_mfa_disable_post,Disable Mfa
58,POST,/api/v1/auth/mfa/enroll,auth,enroll_mfa_api_v1_auth_mfa_enroll_post,Enroll Mfa
59,POST,/api/v1/auth/mfa/enroll/confirm,auth,confirm_mfa_enrollment_api_v1_auth_mfa_enroll_confirm_post,Confirm Mfa Enrollment
60,POST,/api/v1/auth/mfa/verify,auth,verify_mfa_login_api_v1_auth_mfa_verify_post,Verify Mfa Login
61,GET,/api/v1/auth/oauth/accounts,auth,list_oauth_accounts_api_v1_auth_oauth_accounts_get,List Oauth Accounts
62,DELETE,/api/v1/auth/oauth/accounts/{account_id},auth,unlink_oauth_account_api_v1_auth_oauth_accounts__account_id__delete,Unlink Oauth Account
63,POST,/api/v1/auth/oauth/link,auth,link_oauth_account_api_v1_auth_oauth_link_post,Link Oauth Account
64,POST,/api/v1/auth/oauth/login,auth,oauth_login_api_v1_auth_oauth_login_post,Oauth Login
65,POST,/api/v1/auth/password/change,auth,change_password_api_v1_auth_password_change_post,Change Password
66,POST,/api/v1/auth/password/reset/confirm,auth,confirm_password_reset_api_v1_auth_password_reset_confirm_post,Confirm Password Reset
67,POST,/api/v1/auth/password/reset/request,auth,request_password_reset_api_v1_auth_password_reset_request_post,Request Password Reset
68,POST,/api/v1/auth/refresh,auth,refresh_api_v1_auth_refresh_post,Refresh
69,POST,/api/v1/auth/register,auth,register_api_v1_auth_register_post,Register
70,GET,/api/v1/auth/sessions,auth,list_sessions_api_v1_auth_sessions_get,List Sessions
71,DELETE,/api/v1/auth/sessions/{session_id},auth,revoke_session_api_v1_auth_sessions__session_id__delete,Revoke Session
72,GET,/api/v1/companion-pets,companion-pets,list_pets_api_v1_companion_pets_get,List companion pets visible to the caller
73,POST,/api/v1/companion-pets,companion-pets,create_pet_api_v1_companion_pets_post,Create an owner companion pet
74,GET,/api/v1/companion-pets/appointments,companion-pets,list_appointments_api_v1_companion_pets_appointments_get,List authorized veterinary appointments
75,POST,/api/v1/companion-pets/appointments,companion-pets,create_appointment_api_v1_companion_pets_appointments_post,Book a veterinary appointment
76,GET,/api/v1/companion-pets/appointments/{appointment_id},companion-pets,get_appointment_api_v1_companion_pets_appointments__appointment_id__get,Get an authorized appointment
77,POST,/api/v1/companion-pets/appointments/{appointment_id}/cancel,companion-pets,cancel_appointment_api_v1_companion_pets_appointments__appointment_id__cancel_post,Cancel an appointment
78,POST,/api/v1/companion-pets/appointments/{appointment_id}/confirm,companion-pets,confirm_appointment_api_v1_companion_pets_appointments__appointment_id__confirm_post,Confirm an appointment as clinic staff
79,GET,/api/v1/companion-pets/clinics,companion-pets,list_clinics_api_v1_companion_pets_clinics_get,List active veterinary clinics
80,POST,/api/v1/companion-pets/clinics,companion-pets,create_clinic_api_v1_companion_pets_clinics_post,Create a veterinary clinic directory entry
81,PATCH,/api/v1/companion-pets/clinics/{clinic_id},companion-pets,update_clinic_api_v1_companion_pets_clinics__clinic_id__patch,Update a veterinary clinic directory entry
82,DELETE,/api/v1/companion-pets/clinics/{clinic_id},companion-pets,delete_clinic_api_v1_companion_pets_clinics__clinic_id__delete,Soft-delete a veterinary clinic directory entry
83,POST,/api/v1/companion-pets/clinics/{clinic_id}/memberships,companion-pets,add_clinic_membership_api_v1_companion_pets_clinics__clinic_id__memberships_post,Authorize a user for a veterinary clinic
84,DELETE,/api/v1/companion-pets/medical-records/{record_id},companion-pets,delete_medical_record_api_v1_companion_pets_medical_records__record_id__delete,Soft-delete an authorized medical-history record
85,POST,/api/v1/companion-pets/safety-tag/scan,companion-pets,scan_safety_tag_api_v1_companion_pets_safety_tag_scan_post,Privacy-safe public QR safety-tag scan
86,GET,/api/v1/companion-pets/{pet_id},companion-pets,get_pet_api_v1_companion_pets__pet_id__get,Get an authorized companion pet profile
87,PATCH,/api/v1/companion-pets/{pet_id},companion-pets,update_pet_api_v1_companion_pets__pet_id__patch,Update an authorized companion pet profile
88,DELETE,/api/v1/companion-pets/{pet_id},companion-pets,delete_pet_api_v1_companion_pets__pet_id__delete,Soft-delete an owned companion pet
89,GET,/api/v1/companion-pets/{pet_id}/medical-files,companion-pets,list_medical_files_api_v1_companion_pets__pet_id__medical_files_get,List authorized medical-history files
90,POST,/api/v1/companion-pets/{pet_id}/medical-files/upload-url,companion-pets,request_medical_upload_api_v1_companion_pets__pet_id__medical_files_upload_url_post,Request a presigned medical-history upload
91,PUT,/api/v1/companion-pets/{pet_id}/medical-files/{file_id}/confirm,companion-pets,confirm_medical_upload_api_v1_companion_pets__pet_id__medical_files__file_id__confirm_put,Confirm a medical-history upload
92,GET,/api/v1/companion-pets/{pet_id}/medical-records,companion-pets,list_medical_records_api_v1_companion_pets__pet_id__medical_records_get,List a pet's authorized medical history
93,POST,/api/v1/companion-pets/{pet_id}/medical-records,companion-pets,create_medical_record_api_v1_companion_pets__pet_id__medical_records_post,Create a medical-history record
94,GET,/api/v1/companion-pets/{pet_id}/reminders,companion-pets,list_reminders_api_v1_companion_pets__pet_id__reminders_get,List vaccination and medication reminders
95,POST,/api/v1/companion-pets/{pet_id}/reminders,companion-pets,create_reminder_api_v1_companion_pets__pet_id__reminders_post,Create a vaccination or medication reminder
96,DELETE,/api/v1/companion-pets/{pet_id}/reminders/{reminder_id},companion-pets,delete_reminder_api_v1_companion_pets__pet_id__reminders__reminder_id__delete,Soft-delete a vaccination or medication reminder
97,GET,/api/v1/companion-pets/{pet_id}/safety-tag,companion-pets,get_safety_tag_api_v1_companion_pets__pet_id__safety_tag_get,Read safety-tag metadata without revealing its token
98,POST,/api/v1/companion-pets/{pet_id}/safety-tag,companion-pets,provision_safety_tag_api_v1_companion_pets__pet_id__safety_tag_post,Provision or rotate a QR safety tag
99,GET,/api/v1/dashboards/adoption,dashboards,get_adoption_dashboard_api_v1_dashboards_adoption_get,Get Adoption Dashboard
100,GET,/api/v1/dashboards/donor,dashboards,get_donor_dashboard_api_v1_dashboards_donor_get,Get Donor Dashboard
101,GET,/api/v1/dashboards/executive,dashboards,get_executive_dashboard_api_v1_dashboards_executive_get,Get Executive Dashboard
102,GET,/api/v1/dashboards/finance,dashboards,get_finance_dashboard_api_v1_dashboards_finance_get,Get Finance Dashboard
103,GET,/api/v1/dashboards/foster,dashboards,get_foster_dashboard_api_v1_dashboards_foster_get,Get Foster Dashboard
104,GET,/api/v1/dashboards/inventory,dashboards,get_inventory_dashboard_api_v1_dashboards_inventory_get,Get Inventory Dashboard
105,GET,/api/v1/dashboards/medical,dashboards,get_medical_dashboard_api_v1_dashboards_medical_get,Get Medical Dashboard
106,GET,/api/v1/dashboards/operations,dashboards,get_operations_dashboard_api_v1_dashboards_operations_get,Get Operations Dashboard
107,GET,/api/v1/dashboards/public,dashboards,get_public_dashboard_api_v1_dashboards_public_get,Get Public Dashboard
108,GET,/api/v1/dashboards/rescue,dashboards,get_rescue_dashboard_api_v1_dashboards_rescue_get,Get Rescue Dashboard
109,GET,/api/v1/dashboards/rescue/stream,dashboards,stream_rescue_dashboard_api_v1_dashboards_rescue_stream_get,Stream Rescue Dashboard
110,GET,/api/v1/dashboards/shelter,dashboards,get_shelter_dashboard_api_v1_dashboards_shelter_get,Get Shelter Dashboard
111,GET,/api/v1/dashboards/staff,dashboards,get_staff_dashboard_api_v1_dashboards_staff_get,Get Staff Dashboard
112,GET,/api/v1/dashboards/volunteer,dashboards,get_volunteer_dashboard_api_v1_dashboards_volunteer_get,Get Volunteer Dashboard
113,GET,/api/v1/dogs,dogs,list_dogs_api_v1_dogs_get,List Dogs
114,POST,/api/v1/dogs,dogs,register_dog_api_v1_dogs_post,Register Dog
115,GET,/api/v1/dogs/admin/dogs/{dog_id},dogs,get_dog_api_v1_dogs_admin_dogs__dog_id__get,Get Dog
116,PATCH,/api/v1/dogs/admin/dogs/{dog_id}/status,dogs,update_dog_status_api_v1_dogs_admin_dogs__dog_id__status_patch,Update Dog Status
117,POST,/api/v1/dogs/bulk/delete,dogs,bulk_delete_dogs_api_v1_dogs_bulk_delete_post,Bulk Delete Dogs
118,POST,/api/v1/dogs/bulk/status-update,dogs,bulk_update_dog_status_api_v1_dogs_bulk_status_update_post,Bulk Update Dog Status
119,GET,/api/v1/dogs/{dog_id},dogs,get_dog_api_v1_dogs__dog_id__get,Get Dog
120,PUT,/api/v1/dogs/{dog_id},dogs,update_dog_api_v1_dogs__dog_id__put,Update Dog
121,DELETE,/api/v1/dogs/{dog_id},dogs,soft_delete_dog_api_v1_dogs__dog_id__delete,Soft Delete Dog
122,PATCH,/api/v1/dogs/{dog_id}/status,dogs,update_dog_status_api_v1_dogs__dog_id__status_patch,Update Dog Status
123,GET,/api/v1/dogs/{dog_id}/timeline,dogs,get_dog_timeline_api_v1_dogs__dog_id__timeline_get,Get Dog Timeline
124,POST,/api/v1/dogs/{dog_id}/weight,dogs,record_dog_weight_api_v1_dogs__dog_id__weight_post,Record Dog Weight
125,GET,/api/v1/dogs/{dog_id}/weights,dogs,get_dog_weight_history_api_v1_dogs__dog_id__weights_get,Get Dog Weight History
126,GET,/api/v1/donations,donations,list_all_donations_api_v1_donations_get,List All Donations
127,POST,/api/v1/donations,donations,record_manual_donation_api_v1_donations_post,Record Manual Donation
128,POST,/api/v1/donations/bulk/status-update,donations,bulk_update_donation_status_api_v1_donations_bulk_status_update_post,Bulk Update Donation Status
129,GET,/api/v1/donations/campaigns,donations,list_public_campaigns_api_v1_donations_campaigns_get,List Public Campaigns
130,POST,/api/v1/donations/campaigns,donations,create_campaign_api_v1_donations_campaigns_post,Create Campaign
131,GET,/api/v1/donations/campaigns/manage,donations,list_all_campaigns_api_v1_donations_campaigns_manage_get,List All Campaigns
132,GET,/api/v1/donations/campaigns/{campaign_id},donations,get_campaign_api_v1_donations_campaigns__campaign_id__get,Get Campaign
133,PATCH,/api/v1/donations/campaigns/{campaign_id},donations,update_campaign_api_v1_donations_campaigns__campaign_id__patch,Update Campaign
134,DELETE,/api/v1/donations/campaigns/{campaign_id},donations,delete_campaign_api_v1_donations_campaigns__campaign_id__delete,Delete Campaign
135,POST,/api/v1/donations/checkout,donations,initiate_donation_checkout_api_v1_donations_checkout_post,Initiate Donation Checkout
136,GET,/api/v1/donations/donors,donations,list_donors_api_v1_donations_donors_get,List Donors
137,POST,/api/v1/donations/donors/bulk/delete,donations,bulk_delete_donors_api_v1_donations_donors_bulk_delete_post,Bulk Delete Donors
138,GET,/api/v1/donations/donors/me,donations,get_my_donor_profile_api_v1_donations_donors_me_get,Get My Donor Profile
139,PUT,/api/v1/donations/donors/{donor_id},donations,update_donor_api_v1_donations_donors__donor_id__put,Update Donor
140,DELETE,/api/v1/donations/donors/{donor_id},donations,soft_delete_donor_api_v1_donations_donors__donor_id__delete,Soft Delete Donor
141,GET,/api/v1/donations/history,donations,get_donation_history_api_v1_donations_history_get,Get Donation History
142,GET,/api/v1/donations/recurring,donations,list_my_recurring_subscriptions_api_v1_donations_recurring_get,List My Recurring Subscriptions
143,POST,/api/v1/donations/recurring,donations,create_recurring_subscription_api_v1_donations_recurring_post,Create Recurring Subscription
144,DELETE,/api/v1/donations/recurring/{subscription_id},donations,cancel_recurring_subscription_api_v1_donations_recurring__subscription_id__delete,Cancel Recurring Subscription
145,POST,/api/v1/donations/register,donations,register_donor_api_v1_donations_register_post,Register Donor
146,GET,/api/v1/donations/sponsorships,donations,list_all_sponsorships_api_v1_donations_sponsorships_get,List All Sponsorships
147,POST,/api/v1/donations/sponsorships,donations,create_sponsorship_api_v1_donations_sponsorships_post,Create Sponsorship
148,GET,/api/v1/donations/sponsorships/my,donations,list_my_sponsorships_api_v1_donations_sponsorships_my_get,List My Sponsorships
149,GET,/api/v1/donations/sponsorships/{sponsorship_id},donations,get_sponsorship_api_v1_donations_sponsorships__sponsorship_id__get,Get Sponsorship
150,PATCH,/api/v1/donations/sponsorships/{sponsorship_id}/status,donations,update_sponsorship_status_api_v1_donations_sponsorships__sponsorship_id__status_patch,Update Sponsorship Status
151,POST,/api/v1/donations/verify,donations,verify_donation_checkout_api_v1_donations_verify_post,Verify Donation Checkout
152,GET,/api/v1/donations/{donation_id}/receipt,donations,get_donation_receipt_api_v1_donations__donation_id__receipt_get,Get Donation Receipt
153,POST,/api/v1/donations/{donation_id}/reconcile,donations,reconcile_donation_api_v1_donations__donation_id__reconcile_post,Reconcile Donation
154,PATCH,/api/v1/donations/{donation_id}/status,donations,update_donation_status_api_v1_donations__donation_id__status_patch,Update Donation Status
155,GET,/api/v1/finance/account-balances,finance,get_account_balances_api_v1_finance_account_balances_get,Get Account Balances
156,GET,/api/v1/finance/accounts,finance,list_accounts_api_v1_finance_accounts_get,List Accounts
157,POST,/api/v1/finance/accounts,finance,create_account_api_v1_finance_accounts_post,Create Account
158,POST,/api/v1/finance/accounts/bulk/delete,finance,bulk_delete_accounts_api_v1_finance_accounts_bulk_delete_post,Bulk Delete Accounts
159,GET,/api/v1/finance/accounts/{account_id},finance,get_account_api_v1_finance_accounts__account_id__get,Get Account
160,PUT,/api/v1/finance/accounts/{account_id},finance,update_account_api_v1_finance_accounts__account_id__put,Update Account
161,DELETE,/api/v1/finance/accounts/{account_id},finance,delete_account_api_v1_finance_accounts__account_id__delete,Delete Account
162,GET,/api/v1/finance/budgets,finance,list_budgets_api_v1_finance_budgets_get,List Budgets
163,POST,/api/v1/finance/budgets,finance,create_budget_api_v1_finance_budgets_post,Create Budget
164,GET,/api/v1/finance/budgets/{budget_id},finance,get_budget_api_v1_finance_budgets__budget_id__get,Get Budget
165,DELETE,/api/v1/finance/budgets/{budget_id},finance,delete_budget_api_v1_finance_budgets__budget_id__delete,Delete Budget
166,POST,/api/v1/finance/budgets/{budget_id}/items,finance,add_budget_item_api_v1_finance_budgets__budget_id__items_post,Add Budget Item
167,GET,/api/v1/finance/pnl,finance,get_pnl_api_v1_finance_pnl_get,Get Pnl
168,POST,/api/v1/finance/reconcile/donations,finance,reconcile_donations_api_v1_finance_reconcile_donations_post,Reconcile Donations
169,GET,/api/v1/finance/reconcile/summary,finance,get_reconciliation_summary_api_v1_finance_reconcile_summary_get,Get Reconciliation Summary
170,GET,/api/v1/finance/recurring,finance,list_recurring_api_v1_finance_recurring_get,List Recurring
171,POST,/api/v1/finance/recurring,finance,create_recurring_api_v1_finance_recurring_post,Create Recurring
172,DELETE,/api/v1/finance/recurring/{rtx_id},finance,delete_recurring_api_v1_finance_recurring__rtx_id__delete,Delete Recurring
173,GET,/api/v1/finance/summary,finance,get_finance_summary_api_v1_finance_summary_get,Get Finance Summary
174,GET,/api/v1/finance/transactions,finance,list_transactions_api_v1_finance_transactions_get,List Transactions
175,POST,/api/v1/finance/transactions,finance,create_transaction_api_v1_finance_transactions_post,Create Transaction
176,POST,/api/v1/finance/transactions/bulk/delete,finance,bulk_delete_transactions_api_v1_finance_transactions_bulk_delete_post,Bulk Delete Transactions
177,GET,/api/v1/finance/transactions/{tx_id},finance,get_transaction_api_v1_finance_transactions__tx_id__get,Get Transaction
178,DELETE,/api/v1/finance/transactions/{tx_id},finance,delete_transaction_api_v1_finance_transactions__tx_id__delete,Delete Transaction
179,PATCH,/api/v1/finance/transactions/{tx_id}/status,finance,update_transaction_status_api_v1_finance_transactions__tx_id__status_patch,Update Transaction Status
