id,method,path,module,operation_id,summary
276,DELETE,/api/v1/medical/{entity_type}/{entity_id},medical,soft_delete_entity_api_v1_medical__entity_type___entity_id__delete,Soft Delete Entity
277,GET,/api/v1/notifications,notifications,list_notifications_api_v1_notifications_get,List Notifications
278,POST,/api/v1/notifications/broadcast,notifications,broadcast_notification_api_v1_notifications_broadcast_post,Broadcast Notification
279,POST,/api/v1/notifications/bulk/delete,notifications,bulk_delete_notifications_api_v1_notifications_bulk_delete_post,Bulk Delete Notifications
280,GET,/api/v1/notifications/preferences,notifications,get_preferences_api_v1_notifications_preferences_get,Get Preferences
281,PUT,/api/v1/notifications/preferences,notifications,update_preferences_api_v1_notifications_preferences_put,Update Preferences
282,PUT,/api/v1/notifications/read-all,notifications,mark_all_read_api_v1_notifications_read_all_put,Mark All Read
283,POST,/api/v1/notifications/send,notifications,send_notification_api_v1_notifications_send_post,Send Notification
284,GET,/api/v1/notifications/unread-count,notifications,unread_count_api_v1_notifications_unread_count_get,Unread Count
285,DELETE,/api/v1/notifications/{notification_id},notifications,delete_notification_api_v1_notifications__notification_id__delete,Delete Notification
286,PUT,/api/v1/notifications/{notification_id}/read,notifications,mark_read_api_v1_notifications__notification_id__read_put,Mark Read
287,GET,/api/v1/portal/admin/blog,portal,admin_list_blogs_api_v1_portal_admin_blog_get,Admin List Blogs
288,POST,/api/v1/portal/admin/blog,portal,create_blog_api_v1_portal_admin_blog_post,Create Blog
289,POST,/api/v1/portal/admin/blog/bulk/delete,portal,bulk_delete_blogs_api_v1_portal_admin_blog_bulk_delete_post,Bulk Delete Blogs
290,POST,/api/v1/portal/admin/blog/bulk/status,portal,bulk_update_blog_status_api_v1_portal_admin_blog_bulk_status_post,Bulk Update Blog Status
291,PUT,/api/v1/portal/admin/blog/{post_id},portal,update_blog_api_v1_portal_admin_blog__post_id__put,Update Blog
292,DELETE,/api/v1/portal/admin/blog/{post_id},portal,soft_delete_blog_api_v1_portal_admin_blog__post_id__delete,Soft Delete Blog
293,GET,/api/v1/portal/admin/cms/pages,portal,list_admin_cms_pages_api_v1_portal_admin_cms_pages_get,List Admin Cms Pages
294,GET,/api/v1/portal/admin/cms/pages/{slug},portal,get_admin_cms_page_api_v1_portal_admin_cms_pages__slug__get,Get Admin Cms Page
295,PUT,/api/v1/portal/admin/cms/pages/{slug},portal,update_admin_cms_page_api_v1_portal_admin_cms_pages__slug__put,Update Admin Cms Page
296,POST,/api/v1/portal/admin/cms/pages/{slug}/discard,portal,discard_admin_cms_page_api_v1_portal_admin_cms_pages__slug__discard_post,Discard Admin Cms Page
297,POST,/api/v1/portal/admin/cms/pages/{slug}/publish,portal,publish_admin_cms_page_api_v1_portal_admin_cms_pages__slug__publish_post,Publish Admin Cms Page
298,POST,/api/v1/portal/admin/contact,portal,create_contact_api_v1_portal_admin_contact_post,Create Contact
299,PUT,/api/v1/portal/admin/contact/{location_id},portal,update_contact_api_v1_portal_admin_contact__location_id__put,Update Contact
300,GET,/api/v1/portal/admin/faq,portal,admin_list_faqs_api_v1_portal_admin_faq_get,Admin List Faqs
301,POST,/api/v1/portal/admin/faq,portal,create_faq_api_v1_portal_admin_faq_post,Create Faq
302,POST,/api/v1/portal/admin/faq/bulk/delete,portal,bulk_delete_faqs_api_v1_portal_admin_faq_bulk_delete_post,Bulk Delete Faqs
303,POST,/api/v1/portal/admin/faq/bulk/status,portal,bulk_update_faq_status_api_v1_portal_admin_faq_bulk_status_post,Bulk Update Faq Status
304,PUT,/api/v1/portal/admin/faq/{entry_id},portal,update_faq_api_v1_portal_admin_faq__entry_id__put,Update Faq
305,DELETE,/api/v1/portal/admin/faq/{entry_id},portal,soft_delete_faq_api_v1_portal_admin_faq__entry_id__delete,Soft Delete Faq
306,GET,/api/v1/portal/admin/legal,portal,admin_list_legal_docs_api_v1_portal_admin_legal_get,Admin List Legal Docs
307,POST,/api/v1/portal/admin/legal,portal,create_legal_doc_api_v1_portal_admin_legal_post,Create Legal Doc
308,PUT,/api/v1/portal/admin/legal/{doc_id},portal,update_legal_doc_api_v1_portal_admin_legal__doc_id__put,Update Legal Doc
309,DELETE,/api/v1/portal/admin/legal/{doc_id},portal,soft_delete_legal_doc_api_v1_portal_admin_legal__doc_id__delete,Soft Delete Legal Doc
310,GET,/api/v1/portal/admin/settings,portal,list_settings_api_v1_portal_admin_settings_get,List Settings
311,PUT,/api/v1/portal/admin/settings/{key},portal,upsert_setting_api_v1_portal_admin_settings__key__put,Upsert Setting
312,GET,/api/v1/portal/admin/success-stories,portal,admin_list_stories_api_v1_portal_admin_success_stories_get,Admin List Stories
313,POST,/api/v1/portal/admin/success-stories,portal,create_story_api_v1_portal_admin_success_stories_post,Create Story
314,POST,/api/v1/portal/admin/success-stories/bulk/delete,portal,bulk_delete_stories_api_v1_portal_admin_success_stories_bulk_delete_post,Bulk Delete Stories
315,POST,/api/v1/portal/admin/success-stories/bulk/status,portal,bulk_update_story_status_api_v1_portal_admin_success_stories_bulk_status_post,Bulk Update Story Status
316,PUT,/api/v1/portal/admin/success-stories/{story_id},portal,update_story_api_v1_portal_admin_success_stories__story_id__put,Update Story
317,DELETE,/api/v1/portal/admin/success-stories/{story_id},portal,soft_delete_story_api_v1_portal_admin_success_stories__story_id__delete,Soft Delete Story
318,GET,/api/v1/portal/admin/urgent-alerts,portal,admin_list_urgent_alerts_api_v1_portal_admin_urgent_alerts_get,Admin List Urgent Alerts
319,POST,/api/v1/portal/admin/urgent-alerts,portal,create_urgent_alert_api_v1_portal_admin_urgent_alerts_post,Create Urgent Alert
320,PUT,/api/v1/portal/admin/urgent-alerts/{alert_id},portal,update_urgent_alert_api_v1_portal_admin_urgent_alerts__alert_id__put,Update Urgent Alert
321,DELETE,/api/v1/portal/admin/urgent-alerts/{alert_id},portal,soft_delete_urgent_alert_api_v1_portal_admin_urgent_alerts__alert_id__delete,Soft Delete Urgent Alert
322,POST,/api/v1/portal/admin/veterinary-network,portal,create_vet_api_v1_portal_admin_veterinary_network_post,Create Vet
323,PUT,/api/v1/portal/admin/veterinary-network/{partner_id},portal,update_vet_api_v1_portal_admin_veterinary_network__partner_id__put,Update Vet
324,GET,/api/v1/portal/blog,portal,list_published_blog_api_v1_portal_blog_get,List Published Blog
325,GET,/api/v1/portal/blog/slug/{slug},portal,get_blog_by_slug_api_v1_portal_blog_slug__slug__get,Get Blog By Slug
326,GET,/api/v1/portal/cms/pages/{slug},portal,get_public_cms_page_api_v1_portal_cms_pages__slug__get,Get Public Cms Page
327,GET,/api/v1/portal/contact,portal,list_contact_locations_api_v1_portal_contact_get,List Contact Locations
328,GET,/api/v1/portal/faq,portal,list_faq_api_v1_portal_faq_get,List Faq
329,GET,/api/v1/portal/legal,portal,list_published_legal_docs_api_v1_portal_legal_get,List Published Legal Docs
330,GET,/api/v1/portal/legal/{slug},portal,get_published_legal_doc_api_v1_portal_legal__slug__get,Get Published Legal Doc
331,GET,/api/v1/portal/me/dashboard,portal,get_user_dashboard_api_v1_portal_me_dashboard_get,Get User Dashboard
332,GET,/api/v1/portal/stats,portal,get_hero_stats_api_v1_portal_stats_get,Get Hero Stats
333,GET,/api/v1/portal/success-stories,portal,list_published_stories_api_v1_portal_success_stories_get,List Published Stories
334,GET,/api/v1/portal/success-stories/{story_id},portal,get_published_story_api_v1_portal_success_stories__story_id__get,Get Published Story
335,GET,/api/v1/portal/transparency,portal,get_transparency_stats_api_v1_portal_transparency_get,Get Transparency Stats
336,GET,/api/v1/portal/urgent-alerts,portal,list_active_urgent_alerts_api_v1_portal_urgent_alerts_get,List Active Urgent Alerts
337,GET,/api/v1/portal/veterinary-network,portal,list_veterinary_partners_api_v1_portal_veterinary_network_get,List Veterinary Partners
338,POST,/api/v1/public/rescue/report,public-rescue,public_report_incident_api_v1_public_rescue_report_post,Public Report Incident
339,GET,/api/v1/reports/download/{filename},reports,download_report_api_v1_reports_download__filename__get,Download Report
340,GET,/api/v1/reports/formats,reports,list_report_formats_api_v1_reports_formats_get,List Report Formats
341,POST,/api/v1/reports/generate,reports,generate_report_api_v1_reports_generate_post,Generate Report
342,GET,/api/v1/reports/types,reports,list_report_types_api_v1_reports_types_get,List Report Types
343,GET,/api/v1/rescue,rescue,list_requests_api_v1_rescue_get,List Requests
344,GET,/api/v1/rescue-centres,rescue-centres,list_rescue_centres_api_v1_rescue_centres_get,List Rescue Centres
345,POST,/api/v1/rescue-centres,rescue-centres,create_rescue_centre_api_v1_rescue_centres_post,Create Rescue Centre
346,POST,/api/v1/rescue-centres/bulk/delete,rescue-centres,bulk_delete_rescue_centres_api_v1_rescue_centres_bulk_delete_post,Bulk Delete Rescue Centres
347,POST,/api/v1/rescue-centres/bulk/status,rescue-centres,bulk_update_rescue_centre_status_api_v1_rescue_centres_bulk_status_post,Bulk Update Rescue Centre Status
348,GET,/api/v1/rescue-centres/{facility_id},rescue-centres,get_rescue_centre_api_v1_rescue_centres__facility_id__get,Get Rescue Centre
349,PUT,/api/v1/rescue-centres/{facility_id},rescue-centres,update_rescue_centre_api_v1_rescue_centres__facility_id__put,Update Rescue Centre
350,DELETE,/api/v1/rescue-centres/{facility_id},rescue-centres,delete_rescue_centre_api_v1_rescue_centres__facility_id__delete,Delete Rescue Centre
351,PUT,/api/v1/rescue-centres/{facility_id}/status,rescue-centres,update_rescue_centre_status_api_v1_rescue_centres__facility_id__status_put,Update Rescue Centre Status
352,POST,/api/v1/rescue/bulk/delete,rescue,bulk_delete_rescue_requests_api_v1_rescue_bulk_delete_post,Bulk Delete Rescue Requests
353,POST,/api/v1/rescue/bulk/status-update,rescue,bulk_update_rescue_status_api_v1_rescue_bulk_status_update_post,Bulk Update Rescue Status
354,PATCH,/api/v1/rescue/dispatch/{dispatch_id},rescue,update_dispatch_api_v1_rescue_dispatch__dispatch_id__patch,Update Dispatch
355,DELETE,/api/v1/rescue/dispatch/{dispatch_id},rescue,delete_dispatch_api_v1_rescue_dispatch__dispatch_id__delete,Delete Dispatch
356,GET,/api/v1/rescue/dispatches,rescue,list_dispatches_api_v1_rescue_dispatches_get,List Dispatches
357,PATCH,/api/v1/rescue/dispatches/{dispatch_id},rescue,update_dispatch_api_v1_rescue_dispatches__dispatch_id__patch,Update Dispatch
358,DELETE,/api/v1/rescue/dispatches/{dispatch_id},rescue,delete_dispatch_api_v1_rescue_dispatches__dispatch_id__delete,Delete Dispatch
359,POST,/api/v1/rescue/media-upload-url,rescue,request_rescue_media_upload_url_api_v1_rescue_media_upload_url_post,Request Rescue Media Upload Url
360,POST,/api/v1/rescue/report,rescue,report_incident_api_v1_rescue_report_post,Report Incident
361,GET,/api/v1/rescue/status,rescue,get_public_status_api_v1_rescue_status_get,Get Public Status
362,GET,/api/v1/rescue/{request_id},rescue,get_request_api_v1_rescue__request_id__get,Get Request
363,DELETE,/api/v1/rescue/{request_id},rescue,soft_delete_request_api_v1_rescue__request_id__delete,Soft Delete Request
364,POST,/api/v1/rescue/{request_id}/admitted,rescue,mark_admitted_api_v1_rescue__request_id__admitted_post,Mark Admitted
365,POST,/api/v1/rescue/{request_id}/dispatch,rescue,dispatch_team_api_v1_rescue__request_id__dispatch_post,Dispatch Team
366,POST,/api/v1/rescue/{request_id}/escalate,rescue,escalate_rescue_api_v1_rescue__request_id__escalate_post,Escalate Rescue
367,POST,/api/v1/rescue/{request_id}/fail,rescue,fail_rescue_api_v1_rescue__request_id__fail_post,Fail Rescue
368,POST,/api/v1/rescue/{request_id}/located,rescue,mark_located_api_v1_rescue__request_id__located_post,Mark Located
369,POST,/api/v1/rescue/{request_id}/secured,rescue,mark_rescued_api_v1_rescue__request_id__secured_post,Mark Rescued
